,popul,TVnews,selfLR,ClinLR,DoleLR,PID,age,educ,income,vote,logpopul
0,0.0,7.0,7.0,1.0,6.0,6.0,36.0,3.0,1.0,1.0,-2.3025850929940455
1,190.0,1.0,3.0,3.0,5.0,1.0,20.0,4.0,1.0,0.0,5.247550249494384
2,31.0,7.0,2.0,2.0,6.0,1.0,24.0,6.0,1.0,0.0,3.4372078191851885
3,83.0,4.0,3.0,4.0,5.0,1.0,28.0,6.0,1.0,0.0,4.420044701861403
4,640.0,7.0,5.0,6.0,4.0,0.0,68.0,6.0,1.0,0.0,6.461624414147958
5,110.0,3.0,3.0,4.0,6.0,1.0,21.0,4.0,1.0,0.0,4.701389043728634
6,100.0,7.0,5.0,6.0,4.0,1.0,77.0,4.0,1.0,0.0,4.6061696863211745
7,31.0,1.0,5.0,4.0,5.0,4.0,21.0,4.0,1.0,0.0,3.4372078191851885
8,180.0,7.0,4.0,6.0,3.0,3.0,31.0,4.0,1.0,0.0,5.19351225218191
9,2800.0,0.0,3.0,3.0,7.0,0.0,39.0,3.0,1.0,0.0,7.937410409811269
10,1600.0,0.0,3.0,2.0,4.0,4.0,26.0,2.0,1.0,0.0,7.377821406274829
11,330.0,5.0,4.0,3.0,6.0,1.0,31.0,4.0,1.0,0.0,5.799395638859147
12,190.0,2.0,5.0,4.0,6.0,5.0,22.0,4.0,1.0,1.0,5.247550249494384
13,100.0,7.0,4.0,4.0,6.0,0.0,42.0,5.0,1.0,0.0,4.6061696863211745
14,1000.0,7.0,5.0,7.0,4.0,0.0,74.0,1.0,1.0,0.0,6.90785527398247
15,0.0,7.0,6.0,7.0,5.0,0.0,62.0,3.0,1.0,0.0,-2.3025850929940455
16,130.0,7.0,4.0,4.0,5.0,1.0,58.0,3.0,1.0,0.0,4.86830338551846
17,5.0,5.0,3.0,3.0,6.0,1.0,24.0,6.0,1.0,0.0,1.62924053973028
18,33.0,7.0,6.0,2.0,6.0,5.0,51.0,4.0,1.0,1.0,3.4995332823830174
19,19.0,2.0,2.0,1.0,4.0,0.0,36.0,3.0,2.0,0.0,2.9496883350525844
20,74.0,7.0,4.0,4.0,7.0,2.0,88.0,2.0,2.0,0.0,4.3054155323020415
21,190.0,0.0,2.0,4.0,6.0,2.0,20.0,4.0,2.0,0.0,5.247550249494384
22,12.0,3.0,4.0,6.0,3.0,2.0,27.0,3.0,2.0,0.0,2.4932054526026954
23,0.0,7.0,6.0,1.0,6.0,6.0,44.0,4.0,2.0,1.0,-2.3025850929940455
24,19.0,0.0,4.0,2.0,2.0,1.0,45.0,3.0,2.0,0.0,2.9496883350525844
25,0.0,2.0,4.0,3.0,6.0,1.0,21.0,4.0,2.0,0.0,-2.3025850929940455
26,390.0,5.0,3.0,4.0,7.0,1.0,40.0,5.0,2.0,0.0,5.966403116512611
27,40.0,7.0,4.0,3.0,4.0,0.0,40.0,6.0,2.0,0.0,3.6913763343125234
28,3.0,3.0,5.0,5.0,4.0,1.0,48.0,3.0,2.0,0.0,1.1314021114911006
29,450.0,3.0,4.0,7.0,1.0,0.0,34.0,3.0,2.0,0.0,6.109469780298887
30,350.0,0.0,3.0,4.0,7.0,2.0,26.0,2.0,2.0,0.0,5.85821882796062
31,64.0,3.0,4.0,4.0,2.0,1.0,60.0,2.0,3.0,0.0,4.160444363926624
32,3.0,0.0,4.0,4.0,3.0,0.0,32.0,3.0,3.0,0.0,1.1314021114911006
33,0.0,1.0,4.0,3.0,7.0,1.0,31.0,3.0,3.0,0.0,-2.3025850929940455
34,640.0,7.0,7.0,5.0,7.0,4.0,33.0,3.0,3.0,1.0,6.461624414147958
35,0.0,7.0,3.0,4.0,6.0,0.0,57.0,3.0,3.0,0.0,-2.3025850929940455
36,12.0,7.0,4.0,3.0,6.0,1.0,84.0,3.0,3.0,0.0,2.4932054526026954
37,62.0,6.0,7.0,2.0,7.0,5.0,75.0,3.0,3.0,1.0,4.128745988939433
38,31.0,2.0,7.0,2.0,6.0,6.0,19.0,4.0,3.0,1.0,3.4372078191851885
39,0.0,1.0,3.0,2.0,6.0,1.0,47.0,6.0,3.0,0.0,-2.3025850929940455
40,180.0,6.0,5.0,5.0,5.0,0.0,51.0,2.0,3.0,0.0,5.19351225218191
41,640.0,3.0,6.0,4.0,4.0,5.0,40.0,3.0,3.0,0.0,6.461624414147958
42,110.0,0.0,2.0,3.0,6.0,1.0,22.0,6.0,3.0,0.0,4.701389043728634
43,100.0,1.0,7.0,7.0,5.0,6.0,35.0,2.0,3.0,0.0,4.6061696863211745
44,100.0,7.0,4.0,4.0,7.0,2.0,43.0,5.0,3.0,0.0,4.6061696863211745
45,11.0,3.0,6.0,6.0,3.0,2.0,76.0,6.0,3.0,0.0,2.4069451083182885
46,0.0,7.0,4.0,3.0,1.0,6.0,45.0,3.0,3.0,1.0,-2.3025850929940455
47,4.0,7.0,4.0,6.0,6.0,0.0,88.0,2.0,3.0,0.0,1.410986973710262
48,35.0,6.0,4.0,4.0,2.0,1.0,46.0,3.0,4.0,0.0,3.55820113047182
49,0.0,1.0,3.0,4.0,5.0,2.0,22.0,6.0,4.0,0.0,-2.3025850929940455
50,0.0,7.0,5.0,1.0,6.0,5.0,68.0,3.0,4.0,1.0,-2.3025850929940455
51,0.0,2.0,5.0,2.0,6.0,5.0,38.0,3.0,4.0,1.0,-2.3025850929940455
52,33.0,7.0,4.0,3.0,6.0,3.0,69.0,2.0,4.0,0.0,3.4995332823830174
53,270.0,2.0,5.0,4.0,3.0,0.0,67.0,3.0,4.0,0.0,5.59879226079857
54,45.0,7.0,2.0,4.0,6.0,0.0,88.0,4.0,4.0,0.0,3.8088822465086327
55,40.0,3.0,6.0,2.0,5.0,5.0,68.0,3.0,4.0,1.0,3.6913763343125234
56,6.0,1.0,5.0,2.0,4.0,2.0,76.0,3.0,4.0,1.0,1.8082887711792655
57,2.0,7.0,4.0,4.0,6.0,0.0,72.0,2.0,4.0,0.0,0.7419373447293773
58,0.0,0.0,6.0,2.0,6.0,6.0,37.0,6.0,4.0,1.0,-2.3025850929940455
59,35.0,3.0,4.0,2.0,6.0,0.0,69.0,3.0,4.0,0.0,3.55820113047182
60,83.0,0.0,2.0,4.0,6.0,0.0,33.0,6.0,4.0,0.0,4.420044701861403
61,3500.0,7.0,2.0,2.0,6.0,0.0,34.0,4.0,4.0,0.0,8.16054681849792
62,100.0,2.0,4.0,4.0,7.0,2.0,30.0,3.0,4.0,0.0,4.6061696863211745
63,350.0,2.0,3.0,3.0,6.0,1.0,19.0,3.0,4.0,0.0,5.85821882796062
64,100.0,3.0,4.0,6.0,2.0,0.0,44.0,3.0,4.0,0.0,4.6061696863211745
65,67.0,1.0,4.0,4.0,7.0,1.0,64.0,3.0,4.0,0.0,4.206184043977636
66,30.0,5.0,7.0,7.0,2.0,0.0,37.0,4.0,4.0,0.0,3.40452517175483
67,0.0,7.0,6.0,3.0,5.0,4.0,31.0,5.0,5.0,1.0,-2.3025850929940455
68,0.0,0.0,6.0,1.0,5.0,4.0,88.0,4.0,5.0,1.0,-2.3025850929940455
69,6.0,7.0,6.0,2.0,6.0,6.0,77.0,4.0,5.0,1.0,1.8082887711792655
70,350.0,1.0,4.0,5.0,6.0,5.0,30.0,6.0,5.0,0.0,5.85821882796062
71,400.0,1.0,2.0,3.0,7.0,1.0,32.0,4.0,5.0,0.0,5.9917145158631895
72,15.0,7.0,6.0,2.0,6.0,6.0,59.0,1.0,5.0,1.0,2.714694743820879
73,0.0,0.0,4.0,4.0,4.0,3.0,47.0,4.0,5.0,0.0,-2.3025850929940455
74,3.0,2.0,4.0,6.0,5.0,1.0,22.0,3.0,5.0,0.0,1.1314021114911006
75,22.0,5.0,4.0,2.0,6.0,2.0,55.0,3.0,5.0,0.0,3.095577608523707
76,64.0,2.0,2.0,1.0,3.0,0.0,24.0,2.0,5.0,0.0,4.160444363926624
77,32.0,5.0,3.0,7.0,4.0,1.0,65.0,1.0,5.0,0.0,3.4688560301359703
78,390.0,7.0,3.0,6.0,2.0,2.0,24.0,3.0,5.0,0.0,5.966403116512611
79,0.0,7.0,3.0,4.0,5.0,3.0,30.0,3.0,5.0,0.0,-2.3025850929940455
