SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-AAZF76_S94,238428,0.453264,1429.849081,29.327164,0.025641,0.974066,0.87325,R2979
1-AAZH11_S497,274658,0.472299,1397.258682,29.719043,0.025641,0.975648,0.892244,R2979
1-AAZH60_S162,343285,0.482904,1485.524003,61.568306,0.025641,0.983806,0.97784,R2979
1-JALW18_S563,367192,0.529627,1283.957323,22.44947,0.025641,0.966395,0.660173,R2979
1-JALW57_S298,342861,0.506247,1334.070633,42.929502,0.025641,0.982284,0.968526,R2979
1-JXQG39_S431,245692,0.46352,1335.086577,46.433764,0.025641,0.983015,0.965664,R2979
1-SAAV67_S230,422726,0.446811,3352.008911,39.679167,0.025641,0.98058,0.961524,R2979
1-SAAV68_S365,261805,0.472066,1193.478006,67.604834,0.025641,0.985206,0.981067,R2979
1-XAZW90_S629,264776,0.45278,1470.657581,41.19463,0.025641,0.981615,0.95568,R2979
1-XAZX17_S695,319462,0.482523,1614.570218,25.510593,0.025641,0.971813,0.793681,R2979
1-XAZX53_S26,258644,0.460299,1433.596951,42.675332,0.025641,0.981067,0.967064,R2979
10-AAZG62_S440,279107,0.462883,1666.008125,33.843054,0.025641,0.979971,0.935833,R2979
10-AAZH20_S506,238657,0.482961,1150.604464,27.427006,0.025641,0.975953,0.843054,R2979
10-AAZH69_S171,376260,0.482702,1649.053291,77.58797,0.017094,0.982832,0.980032,R2979
10-JALW66_S307,299430,0.499313,1313.099244,23.415926,0.025641,0.965177,0.721113,R2979
10-JXQF98_S374,294599,0.421387,1707.929935,23.024534,0.025641,0.961037,0.697005,R2979
10-JXQG47_S572,289055,0.53633,950.64915,16.604651,0.025641,0.892183,0.286558,R2979
10-XAZW99_S638,220170,0.458412,1319.116324,27.464568,0.025641,0.979179,0.81858,R2979
10-XAZX27_S704,263818,0.485531,1210.9122,22.739742,0.025641,0.959455,0.696396,R2979
10-XAZX49_S239,221850,0.43795,1426.425283,44.270973,0.025641,0.983684,0.974735,R2979
10-XAZX62_S35,262426,0.465881,1419.885074,33.75898,0.025641,0.98058,0.928711,R2979
10-XAZY32_S103,291944,0.457508,1704.074215,40.806161,0.025641,0.981006,0.953427,R2979
11-AAZG63_S441,245753,0.469055,1496.168916,18.348411,0.025641,0.936868,0.413795,R2979
11-AAZH21_S507,301694,0.482551,1239.133884,72.85456,0.025641,0.984232,0.980397,R2979
11-AAZH70_S172,343081,0.488274,1494.755165,56.983867,0.025641,0.981493,0.977962,R2979
11-JALW67_S308,365647,0.504239,1298.805661,71.617801,0.025641,0.983258,0.98058,R2979
11-JXQF99_S375,296798,0.465223,1725.315424,26.458237,0.025641,0.975161,0.827469,R2979
11-JXQG48_S573,383447,0.476145,1259.346394,51.197857,0.034188,0.968769,0.953671,R2979
11-XAZX01_S639,246552,0.453619,1481.851614,22.914587,0.025641,0.959576,0.682333,R2979
11-XAZX28_S705,301334,0.489507,1387.758267,33.68422,0.025641,0.979179,0.925423,R2979
11-XAZX50_S240,218142,0.406339,1372.197047,39.241386,0.025641,0.976927,0.955315,R2979
11-XAZX63_S36,269691,0.47064,1405.96868,43.261354,0.025641,0.983076,0.971996,R2979
11-XAZY33_S104,271121,0.459886,1578.430743,38.117497,0.025641,0.980884,0.95221,R2979
12-AAZG35_S37,238333,0.46118,1367.629668,30.623219,0.025641,0.978997,0.906064,R2979
12-AAZG64_S442,281358,0.455328,1571.157777,45.527517,0.025641,0.98131,0.966029,R2979
12-AAZH22_S508,243749,0.477783,1250.453195,31.401559,0.025641,0.980214,0.906672,R2979
12-AAZH71_S173,313352,0.481292,1541.983445,38.565628,0.025641,0.979606,0.95501,R2979
12-JALW68_S309,384020,0.501631,1348.787621,69.048521,0.025641,0.982284,0.981006,R2979
12-JXQG01_S376,264388,0.472659,1346.465251,36.105199,0.025641,0.981858,0.945696,R2979
12-JXQG49_S574,323763,0.52208,1121.920456,26.144831,0.025641,0.967491,0.821137,R2979
12-XAZX02_S640,433431,0.44983,2806.602499,31.038658,0.025641,0.977536,0.887861,R2979
12-XAZX29_S706,317151,0.497031,1428.494998,32.526482,0.025641,0.979606,0.919153,R2979
12-XAZX51_S241,250878,0.457587,1543.435242,51.841288,0.025641,0.981067,0.973944,R2979
12-XAZY34_S105,256742,0.466051,1440.723322,28.016559,0.025641,0.978266,0.85042,R2979
13-AAZG36_S38,310823,0.466853,1640.465645,64.643249,0.025641,0.985206,0.980823,R2979
13-AAZG65_S443,299823,0.457806,1641.936662,49.62121,0.025641,0.981919,0.979606,R2979
13-AAZH23_S509,254004,0.479216,1176.264448,42.809996,0.025641,0.985146,0.964447,R2979
13-AAZH72_S174,291501,0.483134,1377.548028,28.405211,0.025641,0.979118,0.877694,R2979
13-JALW69_S310,307240,0.504716,1109.349845,43.328991,0.025641,0.981127,0.969926,R2979
13-JXQG02_S377,250894,0.477246,1255.967938,47.586753,0.025641,0.981493,0.971022,R2979
13-JXQG50_S575,368838,0.534915,1089.357314,53.894679,0.025641,0.982832,0.976927,R2979
13-XAZX03_S641,280965,0.473224,1782.267069,23.001887,0.025641,0.967491,0.693169,R2979
13-XAZX30_S707,385937,0.512057,1410.343031,72.309692,0.025641,0.985328,0.982589,R2979
13-XAZX52_S242,253209,0.455912,1488.85406,48.888835,0.025641,0.982284,0.971569,R2979
13-XAZY35_S106,286618,0.458524,1574.049797,44.081456,0.017094,0.980275,0.96262,R2979
14-AAZG37_S39,228204,0.454992,1413.275805,18.961342,0.025641,0.950079,0.431207,R2979
14-AAZG66_S444,272173,0.454525,1573.150832,38.225801,0.025641,0.978753,0.956411,R2979
14-AAZH40_S510,285113,0.483011,1250.732757,59.235602,0.017094,0.983563,0.978631,R2979
14-JALW70_S311,337157,0.505558,1234.379941,52.476805,0.025641,0.982345,0.977962,R2979
14-JXQG03_S378,215696,0.466846,1155.419124,21.870936,0.025641,0.965055,0.633143,R2979
14-JXQG51_S576,422843,0.528143,1420.274276,46.533971,0.025641,0.983197,0.964264,R2979
14-JXQG73_S243,239635,0.455047,1567.165771,41.920066,0.017094,0.981006,0.962133,R2979
14-XAZX04_S642,240697,0.452948,1599.249814,18.316571,0.025641,0.934555,0.400584,R2979
14-XAZX31_S708,230220,0.480729,1079.439698,23.36984,0.025641,0.965664,0.707902,R2979
14-XAZX72_S175,404998,0.486086,1967.366138,42.924571,0.025641,0.983502,0.969317,R2979
14-XAZY36_S107,263004,0.473976,1590.973005,22.679167,0.025641,0.963594,0.670705,R2979
15-AAZG38_S40,265997,0.47024,1339.501201,30.011506,0.025641,0.978692,0.890722,R2979
15-AAZG67_S445,290673,0.46245,1423.24964,58.333009,0.025641,0.98618,0.98064,R2979
15-AAZH41_S511,265737,0.485031,1263.555279,32.446426,0.025641,0.981432,0.916352,R2979
15-JALW72_S312,363290,0.514362,1262.610055,52.575551,0.025641,0.984415,0.97717,R2979
15-JXQG04_S379,175615,0.467444,942.530293,20.706989,0.025641,0.959394,0.565689,R2979
15-JXQG52_S577,402940,0.529436,1269.618006,45.073481,0.025641,0.980945,0.964934,R2979
15-JXQG74_S244,216281,0.455749,1291.720919,42.425119,0.025641,0.981858,0.968099,R2979
15-XAZX05_S643,218315,0.453475,1365.102346,21.718739,0.025641,0.962072,0.601972,R2979
15-XAZX32_S709,332859,0.436801,1329.058315,65.322416,0.025641,0.981067,0.970839,R2979
15-XAZX73_S176,351192,0.479121,1807.768095,24.616523,0.025641,0.969256,0.767137,R2979
15-XAZY37_S108,266737,0.46566,1557.780937,24.017472,0.025641,0.961585,0.751126,R2979
16-AAZG39_S41,228359,0.459899,1375.767265,21.404055,0.025641,0.960489,0.594119,R2979
16-AAZG68_S446,250606,0.463563,1485.159699,29.813345,0.017094,0.979484,0.889991,R2979
16-AAZH49_S512,238050,0.423205,1183.226183,20.233289,0.025641,0.948557,0.551382,R2979
16-JALW73_S313,290793,0.49403,1033.444765,57.758493,0.025641,0.983745,0.975709,R2979
16-JXQG05_S380,231529,0.462386,1395.004062,16.025813,0.025641,0.891757,0.241629,R2979
16-JXQG53_S578,393689,0.531195,1395.640764,40.673992,0.025641,0.980397,0.957993,R2979
16-JXQG75_S245,203348,0.450622,1426.068973,23.364727,0.017094,0.96676,0.67241,R2979
