SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-ABDH87_S597,269936,0.492319,1100.375486,38.633203,0.025641,0.979727,0.954889,R3240_batch1
1-ABDI30_S462,367676,0.486311,1476.373564,66.345976,0.025641,0.984354,0.98131,R3240_batch1
1-JANQ26_S495,273592,0.464833,1225.166907,42.814319,0.025641,0.981067,0.964264,R3240_batch1
1-JXTS36_S199,456366,0.507692,1851.059887,48.417874,0.025641,0.984354,0.9737,R3240_batch1
1-JXTS64_S331,591990,0.570602,1626.341589,24.547242,0.017094,0.960794,0.710276,R3240_batch1
1-XBEY04_S67,407135,0.500228,1645.993404,33.277304,0.025641,0.980884,0.934251,R3240_batch1
1-XBEY53_S133,559812,0.527199,2046.6654,38.726592,0.025641,0.981736,0.941008,R3240_batch1
1-XBEZ25_S397,284351,0.474016,1315.482418,37.857665,0.025641,0.980397,0.947948,R3240_batch1
1-XBFA46_S265,469790,0.538071,1448.60062,34.127298,0.025641,0.981249,0.926275,R3240_batch1
1-XBFA67_S1,436605,0.476692,2206.453545,42.673688,0.025641,0.98058,0.960855,R3240_batch1
10-ABDI39_S471,260736,0.480566,1124.082427,29.677463,0.025641,0.981919,0.868623,R3240_batch1
10-JANQ68_S504,300529,0.473507,1332.99537,49.35736,0.025641,0.981797,0.973639,R3240_batch1
10-JXTS45_S208,507554,0.502231,2075.774778,67.277791,0.017094,0.985693,0.979727,R3240_batch1
10-JXTS73_S340,789848,0.594711,1902.230638,64.251796,0.025641,0.985267,0.98131,R3240_batch1
10-SABC69_S606,289575,0.499573,1163.843708,32.754292,0.025641,0.975466,0.912334,R3240_batch1
10-XBEY14_S76,301519,0.493721,1285.645437,16.205771,0.025641,0.867466,0.283514,R3240_batch1
10-XBEY62_S142,409071,0.482884,2015.675272,33.459881,0.025641,0.979362,0.912517,R3240_batch1
10-XBEZ69_S406,373196,0.479628,1830.328528,37.069463,0.025641,0.978084,0.942408,R3240_batch1
10-XBFA55_S274,524565,0.543084,1589.342026,48.916535,0.025641,0.982223,0.975527,R3240_batch1
10-XBFA76_S10,423414,0.48904,2012.590792,42.445513,0.025641,0.982649,0.963838,R3240_batch1
11-ABDI40_S472,419954,0.477277,1866.362469,56.353464,0.025641,0.984293,0.973883,R3240_batch1
11-JANQ69_S505,300114,0.475893,1376.395754,40.73755,0.025641,0.98198,0.961098,R3240_batch1
11-JXTS46_S209,393860,0.494714,1747.222382,33.501705,0.025641,0.979666,0.932424,R3240_batch1
11-JXTS74_S341,660359,0.561598,1943.91552,34.169305,0.025641,0.980275,0.924388,R3240_batch1
11-SABC70_S607,318680,0.488015,1341.836194,42.962498,0.025641,0.98271,0.970656,R3240_batch1
11-XBEY15_S77,357719,0.493632,1393.167693,47.702179,0.025641,0.983015,0.977414,R3240_batch1
11-XBEY63_S143,376609,0.503873,1508.462194,30.260319,0.025641,0.976622,0.878424,R3240_batch1
11-XBEZ70_S407,375579,0.487321,1740.497576,42.042798,0.025641,0.98131,0.965542,R3240_batch1
11-XBFA56_S275,631386,0.549266,1817.472153,64.497382,0.025641,0.985024,0.980519,R3240_batch1
11-XBFA77_S11,368821,0.485262,1788.012624,32.327651,0.008547,0.980458,0.913247,R3240_batch1
12-ABDI41_S473,326529,0.479062,1423.066964,40.766042,0.025641,0.981371,0.959881,R3240_batch1
12-JANQ70_S506,333333,0.477459,1401.526973,64.02703,0.025641,0.98131,0.981006,R3240_batch1
12-JXTS47_S210,435751,0.500098,1909.580483,45.668209,0.025641,0.980701,0.970413,R3240_batch1
12-JXTS75_S342,578695,0.54732,1702.686061,32.162852,0.025641,0.964325,0.895653,R3240_batch1
12-SABC71_S608,439706,0.493302,1697.047613,98.15999,0.025641,0.986059,0.985206,R3240_batch1
12-XBEY16_S78,486383,0.515559,1728.015376,59.99032,0.025641,0.983563,0.980762,R3240_batch1
12-XBEY64_S144,581952,0.516451,2289.253484,75.1122,0.025641,0.985085,0.980093,R3240_batch1
12-XBEZ71_S408,401944,0.493644,1783.973573,25.389809,0.017094,0.96469,0.743516,R3240_batch1
12-XBFA57_S276,457567,0.54045,1383.127987,30.810605,0.025641,0.976866,0.895227,R3240_batch1
12-XBFA78_S12,384849,0.481074,1913.505438,35.086144,0.025641,0.982162,0.928771,R3240_batch1
13-ABDI42_S474,254167,0.485527,1073.570262,33.294655,0.017094,0.978327,0.921283,R3240_batch1
13-JANQ71_S507,278501,0.467952,1348.386319,29.57823,0.017094,0.973457,0.85316,R3240_batch1
13-JXTS48_S211,363669,0.501208,1661.116848,22.49239,0.025641,0.948375,0.634421,R3240_batch1
13-JXTS76_S343,608056,0.57183,1774.230201,27.832704,0.025641,0.975344,0.819372,R3240_batch1
13-SABC72_S609,344161,0.492273,1326.274494,44.728297,0.025641,0.980336,0.962925,R3240_batch1
13-XBEY17_S79,334756,0.50036,1363.430175,21.17247,0.025641,0.941069,0.568124,R3240_batch1
13-XBEY65_S145,347143,0.485567,1513.946097,34.378546,0.025641,0.980701,0.925362,R3240_batch1
13-XBEZ72_S409,310150,0.475717,1457.385227,25.09832,0.025641,0.965238,0.746256,R3240_batch1
13-XBFA58_S277,457250,0.545356,1303.112655,23.196152,0.025641,0.952697,0.675393,R3240_batch1
13-XBFA79_S13,467839,0.479522,2461.421046,45.910264,0.025641,0.983441,0.97504,R3240_batch1
14-ABDI43_S475,306324,0.478161,1308.922116,38.786923,0.025641,0.980458,0.948983,R3240_batch1
14-JANQ73_S508,317381,0.476193,1476.671908,42.448131,0.025641,0.980762,0.960246,R3240_batch1
14-JXTS49_S212,377837,0.506044,1730.591185,26.407403,0.025641,0.967491,0.773712,R3240_batch1
14-JXTS77_S344,614825,0.58241,1562.308959,26.941739,0.025641,0.966516,0.797881,R3240_batch1
14-SABC73_S610,412717,0.490477,1443.793823,109.206197,0.025641,0.985876,0.983076,R3240_batch1
14-XBEY18_S80,395607,0.498866,1669.572358,37.990746,0.025641,0.978692,0.954402,R3240_batch1
14-XBEZ73_S410,322528,0.474347,1447.960512,35.213199,0.025641,0.980336,0.933946,R3240_batch1
14-XBFA07_S146,365954,0.481392,1890.968331,20.813649,0.025641,0.936868,0.559114,R3240_batch1
14-XBFA59_S278,482313,0.544526,1508.30778,26.518507,0.025641,0.969865,0.792098,R3240_batch1
14-XBFA80_S14,435506,0.47383,2259.565675,35.767746,0.025641,0.976257,0.917144,R3240_batch1
15-ABDI44_S476,330783,0.484147,1374.334993,54.573603,0.017094,0.983197,0.976562,R3240_batch1
15-JANQ74_S509,324035,0.486274,1408.365701,44.197187,0.025641,0.982223,0.973091,R3240_batch1
15-JXTS50_S213,468155,0.506611,2072.118945,43.203641,0.025641,0.983319,0.967247,R3240_batch1
15-JXTS78_S345,582147,0.570585,1574.726816,35.110313,0.017094,0.975831,0.924388,R3240_batch1
15-SABC74_S611,385132,0.500512,1501.33329,65.627055,0.025641,0.984171,0.981675,R3240_batch1
15-XBEY19_S81,336829,0.501064,1340.384877,31.21192,0.025641,0.978023,0.893218,R3240_batch1
15-XBEZ74_S411,323728,0.484415,1494.058358,30.380251,0.017094,0.980397,0.88853,R3240_batch1
15-XBFA08_S147,364980,0.479071,1946.053947,21.804213,0.025641,0.948496,0.607147,R3240_batch1
15-XBFA60_S279,509524,0.538024,1503.173809,42.796907,0.025641,0.982345,0.965421,R3240_batch1
15-XBFA81_S15,367790,0.484289,1865.571703,23.463412,0.025641,0.954828,0.678863,R3240_batch1
16-ABDI45_S477,310066,0.486788,1279.38942,39.883417,0.025641,0.984111,0.955741,R3240_batch1
16-JANQ75_S510,293877,0.473126,1408.362382,34.786923,0.025641,0.979606,0.928711,R3240_batch1
16-JXTS51_S214,306769,0.498509,1379.750841,11.175027,0.025641,0.579447,0.076769,R3240_batch1
16-JXTS79_S346,467973,0.562292,1331.566723,18.901071,0.025641,0.901071,0.448557,R3240_batch1
16-SABC75_S612,384803,0.47425,1682.308872,57.125654,0.025641,0.981067,0.979179,R3240_batch1
16-XBEY20_S82,332978,0.495733,1314.176604,28.297577,0.025641,0.976683,0.836844,R3240_batch1
16-XBEZ75_S412,379919,0.498143,1679.55589,44.591501,0.025641,0.982345,0.972178,R3240_batch1
16-XBFA09_S148,286640,0.481085,1341.259293,26.443139,0.025641,0.971265,0.789602,R3240_batch1
16-XBFA61_S280,512862,0.53733,1557.990477,30.211555,0.025641,0.979788,0.871058,R3240_batch1
16-XBFA82_S16,396177,0.421126,2015.042633,33.95635,0.025641,0.973091,0.908073,R3240_batch1
17-ABDI46_S478,302665,0.478825,1253.839165,36.24236,0.025641,0.980762,0.940521,R3240_batch1
17-JANQ76_S511,405750,0.472345,2067.002665,41.657555,0.017094,0.984293,0.956958,R3240_batch1
17-JXTS52_S215,407194,0.495143,1848.516053,29.648362,0.025641,0.977231,0.866797,R3240_batch1
17-JXTS80_S347,440936,0.575,1161.219412,21.70224,0.025641,0.940765,0.606356,R3240_batch1
17-SABC76_S613,333105,0.494376,1339.997729,51.376842,0.025641,0.981432,0.973822,R3240_batch1
17-XBEY21_S83,290852,0.496804,1143.608483,19.897967,0.025641,0.936077,0.513576,R3240_batch1
17-XBEZ76_S413,331691,0.475097,1706.702922,24.316084,0.025641,0.953245,0.707415,R3240_batch1
17-XBFA10_S149,386287,0.492145,1815.487573,23.984111,0.025641,0.95294,0.685986,R3240_batch1
17-XBFA62_S281,478701,0.534754,1590.523828,21.83033,0.017094,0.948983,0.623585,R3240_batch1
17-XBFA83_S17,444678,0.476458,2319.333508,67.363387,0.025641,0.981675,0.978144,R3240_batch1
18-ABDI47_S479,313771,0.485474,1202.815489,51.510958,0.017094,0.981493,0.97504,R3240_batch1
18-JANQ82_S512,269666,0.475349,1301.195955,33.851577,0.025641,0.974857,0.914221,R3240_batch1
18-JXTS53_S216,371563,0.495054,1644.703534,28.848168,0.025641,0.966273,0.83313,R3240_batch1
18-JXTS81_S348,514302,0.576497,1441.5579,25.672897,0.017094,0.971204,0.778522,R3240_batch1
18-SABC77_S614,373601,0.500712,1337.155812,79.165348,0.025641,0.985876,0.981797,R3240_batch1
18-XBEY22_S84,281967,0.494783,1093.415586,22.666565,0.025641,0.958359,0.652015,R3240_batch1
18-XBEZ77_S414,316953,0.491031,1476.22758,24.534336,0.025641,0.962681,0.717582,R3240_batch1
18-XBFA11_S150,344932,0.492959,1751.167256,18.6122,0.017094,0.898271,0.428589,R3240_batch1
18-XBFA63_S282,511670,0.534677,1557.901018,45.112018,0.025641,0.982893,0.967734,R3240_batch1
18-XBFA84_S18,330542,0.478158,1670.921898,28.72233,0.025641,0.971996,0.838122,R3240_batch1
