SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-ABDI97_S356,375600,0.556193,1049.836806,13.39407,0.025641,0.794533,0.098746,R3241
1-JSAU51_S423,400565,0.537391,1305.728432,33.97023,0.025641,0.981554,0.941434,R3241
1-JXTQ70_S257,362698,0.496932,2069.189184,31.887252,0.025641,0.982162,0.929563,R3241
10-ABDJ10_S365,419514,0.517821,1071.825842,53.861561,0.025641,0.981675,0.968038,R3241
10-ABDJ24_S432,404709,0.510367,1544.145503,55.759467,0.025641,0.985267,0.978571,R3241
10-XBFB18_S266,218741,0.475559,1157.320229,17.124315,0.025641,0.916961,0.316754,R3241
11-ABDH38_S433,318330,0.49292,1402.189053,29.321746,0.025641,0.976135,0.883356,R3241
11-ABDJ11_S366,386475,0.543096,1057.951994,32.871119,0.025641,0.977536,0.93145,R3241
11-XBFB19_S267,251517,0.478636,1422.39855,18.273712,0.025641,0.938756,0.379825,R3241
12-ABDH39_S434,424987,0.525402,1371.722972,62.544929,0.025641,0.984232,0.978388,R3241
12-ABDJ12_S367,437624,0.568107,1029.076268,58.615975,0.025641,0.983624,0.977657,R3241
12-XBFB20_S268,361102,0.484816,2063.840169,25.653598,0.025641,0.975831,0.79088,R3241
13-ABDA75_S469,1763945,0.938188,235.087494,34.009741,0.025641,0.979545,0.928711,R3241
13-ABDH40_S435,383991,0.498969,1652.727821,26.943261,0.025641,0.976075,0.836418,R3241
13-ABDJ13_S368,350545,0.566926,855.610449,25.78875,0.025641,0.972665,0.798673,R3241
13-XBFB21_S269,344119,0.488902,1781.435548,33.068124,0.025641,0.980823,0.945331,R3241
14-ABDH41_S436,368311,0.485065,1456.982833,62.418787,0.025641,0.983258,0.97851,R3241
14-ABDJ14_S369,409117,0.561745,1123.056087,23.202119,0.025641,0.974187,0.725922,R3241
14-XBFB22_S270,360017,0.499344,1903.420696,35.99239,0.025641,0.981493,0.955619,R3241
15-ABDH47_S437,357477,0.450516,1402.474643,39.302873,0.025641,0.975953,0.946305,R3241
15-ABDJ15_S370,427163,0.565377,1139.294457,33.066906,0.025641,0.979666,0.942956,R3241
15-XBFB23_S271,284353,0.480404,1622.927489,20.138561,0.025641,0.954889,0.491599,R3241
16-ABDH48_S438,467324,0.448701,1936.382519,77.845367,0.025641,0.983867,0.978388,R3241
16-ABDJ16_S371,331937,0.557798,832.297689,24.287958,0.025641,0.970413,0.761293,R3241
16-JXTN24_S272,305596,0.481296,1832.363954,16.275965,0.025641,0.885913,0.258675,R3241
17-ABDH49_S439,324831,0.499918,1416.32451,27.007732,0.025641,0.978631,0.853038,R3241
17-ABDJ17_S372,473427,0.569588,1254.347661,34.959394,0.025641,0.98058,0.938756,R3241
17-JXTN38_S273,304077,0.483864,1798.791639,15.179837,0.025641,0.879277,0.180202,R3241
18-ABDH50_S440,342613,0.49965,1542.957935,25.271155,0.025641,0.97851,0.811397,R3241
18-JXTN45_S274,302646,0.490542,1752.763334,12.843906,0.025641,0.710094,0.0845,R3241
18-SABC87_S373,411637,0.572435,1097.596602,26.132047,0.017094,0.9737,0.815658,R3241
19-ABDH51_S441,324563,0.497743,1310.701306,47.227688,0.025641,0.981736,0.966638,R3241
19-JXTL19_S275,306540,0.483545,1794.405582,16.849933,0.025641,0.906307,0.286741,R3241
19-SABC88_S374,408892,0.564879,1077.893242,24.402106,0.025641,0.972726,0.766285,R3241
2-ABDI98_S357,422740,0.5696,1014.228061,39.63363,0.025641,0.980884,0.958359,R3241
2-JSAU52_S424,346576,0.500349,1469.072992,33.447096,0.025641,0.977231,0.926336,R3241
2-JXTQ72_S258,302153,0.419686,1800.521469,16.278948,0.025641,0.891453,0.250944,R3241
20-ABDH52_S442,359704,0.498592,1539.129428,28.820346,0.025641,0.974918,0.866614,R3241
20-JXTL24_S276,323438,0.473683,1917.830778,16.246743,0.025641,0.88987,0.258554,R3241
20-SABC89_S375,402070,0.573699,1017.927707,25.205102,0.025641,0.976562,0.792341,R3241
21-ABDH53_S443,361326,0.519639,1268.518892,40.391513,0.025641,0.982041,0.964629,R3241
21-ABDJ25_S376,387273,0.576467,914.88621,31.919579,0.025641,0.978144,0.93559,R3241
21-JXTL25_S277,303947,0.477359,1781.792295,15.156825,0.025641,0.859187,0.187081,R3241
22-ABDH54_S444,262435,0.529007,765.198489,37.588214,0.025641,0.980823,0.940643,R3241
22-ABDJ26_S377,406971,0.568064,1041.973616,25.861683,0.025641,0.972665,0.809935,R3241
22-JXTL53_S278,336874,0.481755,2128.798803,16.957446,0.025641,0.906855,0.29983,R3241
23-ABDH55_S445,362424,0.491338,1479.457345,52.510532,0.025641,0.982223,0.976135,R3241
23-ABDJ27_S378,500710,0.590863,1201.930153,36.148301,0.025641,0.980214,0.948314,R3241
23-JXTL99_S279,315948,0.485717,1916.729131,11.273956,0.025641,0.629064,0.04018,R3241
24-ABDH56_S446,403048,0.482207,1564.320666,81.205528,0.025641,0.986667,0.982771,R3241
24-ABDJ28_S379,489671,0.574723,1254.263137,33.010471,0.025641,0.97924,0.922988,R3241
24-JXTM09_S280,277755,0.479841,1694.602105,12.764946,0.017094,0.744856,0.073725,R3241
25-ABDJ29_S380,464192,0.580273,1158.189228,42.285645,0.017094,0.982832,0.968465,R3241
25-JXTM13_S281,298514,0.480777,1774.913336,13.05954,0.025641,0.764459,0.086509,R3241
25-SABC94_S447,283562,0.493951,1272.599747,14.729271,0.025641,0.847072,0.163582,R3241
26-ABDJ01_S448,362394,0.500914,1388.093085,56.502192,0.025641,0.984171,0.980275,R3241
26-ABDJ30_S381,412246,0.574502,1019.237627,29.092293,0.025641,0.97924,0.881651,R3241
26-JXTM14_S282,326802,0.481463,1938.693094,16.988372,0.025641,0.90582,0.277791,R3241
27-ABDJ02_S449,325222,0.509111,1342.305989,31.328138,0.025641,0.98058,0.906003,R3241
27-ABDJ31_S382,426801,0.586107,990.184161,26.07823,0.025641,0.97504,0.825581,R3241
27-JXTM19_S283,304756,0.472536,2004.596383,12.125167,0.025641,0.702301,0.065932,R3241
28-ABDJ03_S450,285009,0.48971,1240.13384,25.340984,0.025641,0.966638,0.783575,R3241
28-ABDJ32_S383,471442,0.568858,1172.524964,36.731767,0.025641,0.980519,0.949044,R3241
28-JXTM28_S284,317640,0.480344,1962.691915,12.570376,0.025641,0.747961,0.059722,R3241
29-ABDJ34_S384,420021,0.571854,1107.300354,23.566236,0.025641,0.968952,0.725983,R3241
29-JANQ56_S451,341409,0.494494,1305.247193,62.545294,0.017094,0.984598,0.979301,R3241
29-JXTM31_S285,271831,0.474059,1593.498842,14.805491,0.025641,0.84488,0.163217,R3241
3-ABDI99_S358,423260,0.565026,1015.743284,40.226836,0.017094,0.981919,0.96329,R3241
3-JSAU53_S425,342631,0.496095,1460.297777,31.354742,0.025641,0.974005,0.894557,R3241
3-JXTR75_S259,364122,0.484993,2101.842921,18.647267,0.017094,0.935894,0.431511,R3241
30-ABDJ35_S385,525875,0.604006,1071.897829,33.576708,0.025641,0.979058,0.924327,R3241
30-JANQ57_S452,408329,0.490957,1687.799633,60.317606,0.025641,0.981858,0.981006,R3241
30-JXRX09_S286,279816,0.471641,1677.665749,11.312614,0.025641,0.650615,0.036954,R3241
31-ABDJ36_S386,495298,0.585469,1194.917529,37.998661,0.017094,0.981493,0.95014,R3241
31-JANQ58_S453,382278,0.496743,1541.123881,52.726348,0.025641,0.983076,0.979606,R3241
31-XBCC82_S287,274943,0.464358,1677.468003,24.40515,0.025641,0.968647,0.750639,R3241
