SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-JXSA05_S587,254362,0.461071,1514.064518,27.062827,0.017094,0.976683,0.848046,R3105
1-XBCL15_S519,378282,0.550684,1161.956144,18.861257,0.025641,0.935773,0.453123,R3105
10-JXSA14_S596,225372,0.463311,1483.556371,15.501157,0.025641,0.879886,0.184829,R3105
10-XBCJ34_S528,388420,0.558826,1100.40318,21.262754,0.025641,0.963351,0.618958,R3105
11-JXSA15_S597,307737,0.466098,1821.292404,43.729453,0.017094,0.982528,0.971082,R3105
11-XBCJ35_S529,397903,0.547279,1148.967938,32.32966,0.025641,0.980762,0.935894,R3105
12-JXSA16_S598,226946,0.456714,1375.790111,28.574577,0.017094,0.977718,0.871971,R3105
12-XBCJ36_S530,366374,0.561157,1044.036037,21.61914,0.017094,0.962803,0.615914,R3105
13-JXSA17_S599,270560,0.459275,1598.290132,33.901193,0.017094,0.982832,0.93212,R3105
13-XBCJ37_S531,485746,0.556439,1463.005722,37.641483,0.025641,0.981127,0.957689,R3105
14-JXSA18_S600,221737,0.465042,1387.114882,15.144892,0.025641,0.866736,0.201023,R3105
14-XBCJ38_S532,342893,0.536893,1008.580439,31.308657,0.017094,0.978875,0.909777,R3105
15-JXSA19_S601,204675,0.464311,1162.105447,23.019725,0.017094,0.974248,0.711311,R3105
15-XBCJ39_S533,387217,0.550772,1166.95942,15.619688,0.025641,0.889139,0.210276,R3105
16-JXSA21_S602,212838,0.457599,1422.724545,15.540241,0.017094,0.883112,0.208267,R3105
16-XBCJ40_S534,378735,0.556488,1107.179749,12.993303,0.025641,0.744734,0.101364,R3105
17-JXSA22_S603,214465,0.465377,1253.060674,25.823085,0.017094,0.976135,0.810118,R3105
17-XBCJ41_S535,428146,0.560809,1245.976106,24.565202,0.025641,0.974735,0.766955,R3105
18-JXSA23_S604,264776,0.465637,1553.982178,29.502253,0.025641,0.979362,0.902533,R3105
18-XBCJ42_S536,398488,0.542177,1123.023632,37.321259,0.017094,0.98131,0.945757,R3105
19-XBCE37_S605,207008,0.453638,1426.547504,10.255083,0.025641,0.54365,0.016742,R3105
19-XBCJ44_S537,375787,0.499703,1097.188311,25.1662,0.025641,0.962559,0.794837,R3105
2-JXSA06_S588,226214,0.457582,1458.754903,19.224279,0.017094,0.950018,0.466456,R3105
2-XBCJ26_S520,406135,0.554624,1207.777967,31.591319,0.025641,0.980214,0.920796,R3105
20-XBCE39_S606,233446,0.464606,1528.937841,15.699075,0.017094,0.893462,0.222391,R3105
20-XBCJ45_S538,382928,0.555734,1190.56668,20.683063,0.025641,0.954341,0.574029,R3105
21-XBCE44_S607,221985,0.471767,1473.194819,14.619688,0.025641,0.852064,0.155607,R3105
21-XBCJ46_S539,454864,0.555341,1223.206177,49.152624,0.025641,0.982954,0.971935,R3105
22-XBCE57_S608,225952,0.469139,1444.942865,13.895775,0.025641,0.827773,0.120723,R3105
22-XBCJ47_S540,372968,0.543442,1168.20159,22.386095,0.025641,0.96743,0.671801,R3105
23-JXRT03_S609,192538,0.468565,1267.004019,12.259101,0.017094,0.731706,0.042676,R3105
23-XBCJ48_S541,374838,0.553787,964.191456,39.489711,0.017094,0.982041,0.962986,R3105
24-JXRT04_S610,197988,0.469123,1242.660682,13.361317,0.025641,0.788871,0.098015,R3105
24-XBCJ49_S542,401173,0.550588,1056.029878,52.682881,0.025641,0.984963,0.979666,R3105
25-JXRT05_S611,186018,0.459282,1228.01922,7.581822,0.025641,0.252648,0.005844,R3105
25-XBCJ50_S543,481083,0.559813,1365.316691,49.270181,0.025641,0.981797,0.979179,R3105
26-JXRT08_S612,200932,0.467216,1309.323505,10.006149,0.017094,0.529648,0.012541,R3105
26-XBCJ51_S544,468115,0.551831,1290.495872,41.998965,0.025641,0.98478,0.966151,R3105
27-JXRT26_S613,191380,0.471811,1111.284454,14.507427,0.025641,0.831061,0.173932,R3105
27-XBCJ52_S545,405588,0.552137,1199.906958,14.440034,0.017094,0.84762,0.151345,R3105
28-JXRT49_S614,180267,0.456825,1143.467872,11.830878,0.017094,0.712894,0.036223,R3105
28-XBCJ53_S546,497575,0.55107,1511.824663,31.289297,0.025641,0.979971,0.91483,R3105
29-JXRT79_S615,201921,0.450916,1326.97532,14.929258,0.017094,0.85663,0.184829,R3105
29-XBCJ54_S547,451582,0.557604,1311.941729,19.527396,0.017094,0.956532,0.48618,R3105
3-JXSA07_S589,201623,0.464751,1318.512908,11.897601,0.017094,0.692987,0.039023,R3105
3-XBCJ27_S521,341194,0.547811,1071.670292,14.199318,0.017094,0.835992,0.154389,R3105
30-XBCE60_S616,187010,0.457934,1173.14345,12.455071,0.017094,0.745038,0.067819,R3105
