SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-ABBO91_S416,358554,0.520881,1202.585812,54.279922,0.017094,0.982162,0.979118,R3131_batch1
1-ABBP49_S478,403363,0.507289,2011.601319,47.120845,0.025641,0.981006,0.961951,R3131_batch1
1-ABBQ01_S539,300970,0.492382,1681.083432,28.713868,0.025641,0.977292,0.87952,R3131_batch1
1-ABBQ40_S667,280181,0.481776,1518.456602,65.976014,0.017094,0.983441,0.981006,R3131_batch1
1-JAMX39_S603,281056,0.466448,1811.938628,32.845184,0.025641,0.978631,0.918787,R3131_batch1
1-JXSH22_S293,301239,0.498681,1457.184511,21.313771,0.025641,0.963107,0.627116,R3131_batch1
1-JXSH68_S357,468466,0.54797,1654.752807,23.247656,0.025641,0.96883,0.710276,R3131_batch1
1-JXSJ75_S1,648378,0.709778,857.168174,16.777122,0.025641,0.899184,0.306709,R3131_batch1
1-XBCW26_S100,267575,0.502247,1282.965666,17.14958,0.025641,0.920309,0.32546,R3131_batch1
1-XBCX16_S166,364182,0.522089,1278.751714,22.269086,0.025641,0.964203,0.673627,R3131_batch1
1-XBCX55_S230,500746,0.597061,1162.43284,23.915926,0.025641,0.964568,0.743821,R3131_batch1
1-XBCY31_S67,280307,0.485648,1652.296903,27.806283,0.025641,0.968526,0.84762,R3131_batch1
10-ABBP01_S425,344654,0.519427,1258.209496,36.201145,0.025641,0.980093,0.948131,R3131_batch1
10-ABBP58_S487,380996,0.497209,1846.43581,57.742421,0.017094,0.985024,0.977353,R3131_batch1
10-ABBQ10_S548,263152,0.484252,1402.557812,29.863753,0.025641,0.97851,0.890052,R3131_batch1
10-ABBQ49_S676,308349,0.483312,1801.794915,46.454645,0.025641,0.98131,0.976562,R3131_batch1
10-JAMX48_S612,245730,0.465092,1524.704014,19.058627,0.025641,0.935894,0.435407,R3131_batch1
10-JXSH31_S302,307613,0.493417,1501.803259,30.138683,0.025641,0.977292,0.897419,R3131_batch1
10-JXSH77_S366,421966,0.556355,1320.886297,22.197492,0.025641,0.968891,0.66687,R3131_batch1
10-JXSJ81_S10,730313,0.691176,941.934696,30.15305,0.025641,0.970595,0.901254,R3131_batch1
10-XBCW31_S175,356931,0.535873,1182.221072,12.700657,0.025641,0.734932,0.07476,R3131_batch1
10-XBCW61_S109,413264,0.510205,1786.714411,48.737002,0.017094,0.981067,0.974187,R3131_batch1
10-XBCX64_S239,525467,0.593996,1319.098502,25.158894,0.017094,0.973031,0.801839,R3131_batch1
10-XBCY40_S76,295687,0.484648,1711.955139,20.053026,0.025641,0.949288,0.527274,R3131_batch1
11-ABBP02_S426,383071,0.529302,1203.992443,73.340558,0.025641,0.985511,0.981188,R3131_batch1
11-ABBP59_S488,324356,0.505282,1602.014022,24.579447,0.017094,0.967064,0.772069,R3131_batch1
11-ABBQ11_S549,273518,0.488125,1456.200629,33.179106,0.017094,0.978449,0.935651,R3131_batch1
11-ABBQ50_S677,279465,0.472582,1691.04971,36.836357,0.017094,0.980093,0.950018,R3131_batch1
11-JAMX50_S613,261728,0.463303,1718.357664,26.006879,0.025641,0.974248,0.804517,R3131_batch1
11-JXSH32_S303,293136,0.496663,1583.969161,15.982528,0.025641,0.901559,0.258006,R3131_batch1
11-JXSH78_S367,441219,0.538562,1500.12969,41.37398,0.017094,0.982954,0.960185,R3131_batch1
11-JXSJ82_S11,612541,0.705887,855.000087,15.706015,0.025641,0.893218,0.221113,R3131_batch1
11-XBCW32_S176,322630,0.524989,1140.410912,15.773773,0.025641,0.877633,0.253074,R3131_batch1
11-XBCW62_S110,414809,0.508096,2016.537413,26.724279,0.017094,0.970474,0.827773,R3131_batch1
11-XBCX65_S240,566335,0.598863,1362.210982,25.654268,0.025641,0.974066,0.805309,R3131_batch1
11-XBCY41_S77,322735,0.503129,1841.292054,13.850664,0.025641,0.829478,0.106965,R3131_batch1
12-ABBP03_S427,313317,0.517522,1168.103176,31.80677,0.025641,0.980458,0.925971,R3131_batch1
12-ABBP60_S489,362206,0.496766,1770.673175,43.897053,0.025641,0.981067,0.967308,R3131_batch1
12-ABBQ12_S550,309827,0.490744,1621.943695,43.071716,0.025641,0.981067,0.970717,R3131_batch1
12-ABBQ51_S678,344986,0.486283,2033.171493,50.388835,0.017094,0.981919,0.970169,R3131_batch1
12-JAMX51_S614,207029,0.457976,1255.403748,32.692561,0.025641,0.977049,0.929015,R3131_batch1
12-JXSH33_S304,618537,0.619536,1493.433146,22.485085,0.025641,0.969865,0.652624,R3131_batch1
12-JXSH79_S368,339950,0.53534,1010.352597,34.538293,0.025641,0.978023,0.921162,R3131_batch1
12-JXSJ83_S12,707453,0.706052,891.049054,36.982162,0.025641,0.980945,0.956471,R3131_batch1
12-XBCW33_S177,418107,0.535868,1411.694099,30.062584,0.025641,0.978631,0.907768,R3131_batch1
12-XBCW63_S111,342773,0.506559,1523.756519,35.499026,0.025641,0.980032,0.946853,R3131_batch1
12-XBCX66_S241,551439,0.59459,1380.846634,25.247839,0.017094,0.973639,0.789967,R3131_batch1
